GO biological process complete	Oryza sativa - REFLIST (43659)	Gene-List	Gene-List (expected)	Over/Under Representation	Fold Enrichment	raw P-value	FDR
steroid biosynthetic process (GO:0006694)	72	13	3.46e+00	+	3.75e+00	1.30e-04	2.41e-03
ncRNA processing (GO:0034470)	385	4	1.85e+01	-	2.16e-01	1.31e-04	2.41e-03
protein metabolic process (GO:0019538)	4554	276	2.19e+02	+	1.26e+00	1.32e-04	2.43e-03
rRNA metabolic process (GO:0016072)	261	1	1.26e+01	-	7.97e-02	1.43e-04	2.62e-03
nucleotide-sugar transmembrane transport (GO:0015780)	35	9	1.68e+00	+	5.35e+00	1.46e-04	2.68e-03
polysaccharide catabolic process (GO:0000272)	166	21	7.98e+00	+	2.63e+00	1.50e-04	2.74e-03
negative regulation of gene expression, epigenetic (GO:0045814)	27	8	1.30e+00	+	6.16e+00	1.50e-04	2.73e-03
regulation of cellular metabolic process (GO:0031323)	2688	174	1.29e+02	+	1.35e+00	1.51e-04	2.73e-03
regulation of mitotic sister chromatid separation (GO:0010965)	28	8	1.35e+00	+	5.94e+00	1.86e-04	3.34e-03
regulation of sister chromatid segregation (GO:0033045)	28	8	1.35e+00	+	5.94e+00	1.86e-04	3.33e-03
regulation of chromosome separation (GO:1905818)	28	8	1.35e+00	+	5.94e+00	1.86e-04	3.32e-03
regulation of ubiquitin protein ligase activity (GO:1904666)	8	5	3.85e-01	+	1.30e+01	1.91e-04	3.41e-03
cellular protein localization (GO:0034613)	564	49	2.71e+01	+	1.81e+00	1.93e-04	3.43e-03
rRNA processing (GO:0006364)	250	1	1.20e+01	-	8.32e-02	1.99e-04	3.52e-03
cellular component biogenesis (GO:0044085)	1079	81	5.19e+01	+	1.56e+00	2.05e-04	3.61e-03
regulation of cell shape (GO:0008360)	14	6	6.73e-01	+	8.91e+00	2.06e-04	3.62e-03
negative regulation of mitotic cell cycle (GO:0045930)	37	9	1.78e+00	+	5.06e+00	2.10e-04	3.66e-03
organic cyclic compound biosynthetic process (GO:1901362)	847	67	4.07e+01	+	1.64e+00	2.17e-04	3.78e-03
cellular response to organic substance (GO:0071310)	460	42	2.21e+01	+	1.90e+00	2.22e-04	3.85e-03
mitotic cell cycle checkpoint signaling (GO:0007093)	29	8	1.39e+00	+	5.74e+00	2.27e-04	3.93e-03
pyrimidine nucleotide-sugar transmembrane transport (GO:0090481)	29	8	1.39e+00	+	5.74e+00	2.27e-04	3.92e-03
cellular protein metabolic process (GO:0044267)	4052	247	1.95e+02	+	1.27e+00	2.32e-04	3.99e-03
nucleotide phosphorylation (GO:0046939)	88	14	4.23e+00	+	3.31e+00	2.37e-04	4.05e-03
nucleotide metabolic process (GO:0009117)	292	30	1.40e+01	+	2.14e+00	2.49e-04	4.24e-03
endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888)	89	14	4.28e+00	+	3.27e+00	2.62e-04	4.46e-03
leading strand elongation (GO:0006272)	4	4	1.92e-01	+	2.08e+01	2.67e-04	4.52e-03
small GTPase mediated signal transduction (GO:0007264)	22	7	1.06e+00	+	6.61e+00	2.72e-04	4.58e-03
regulation of stomatal movement (GO:0010119)	22	7	1.06e+00	+	6.61e+00	2.72e-04	4.57e-03
actin filament bundle organization (GO:0061572)	15	6	7.22e-01	+	8.32e+00	2.77e-04	4.65e-03
DNA-dependent DNA replication maintenance of fidelity (GO:0045005)	15	6	7.22e-01	+	8.32e+00	2.77e-04	4.63e-03
actin filament bundle assembly (GO:0051017)	15	6	7.22e-01	+	8.32e+00	2.77e-04	4.61e-03
DNA biosynthetic process (GO:0071897)	48	10	2.31e+00	+	4.33e+00	2.82e-04	4.67e-03
deoxyribonucleotide biosynthetic process (GO:0009263)	9	5	4.33e-01	+	1.16e+01	2.86e-04	4.73e-03
cell wall polysaccharide metabolic process (GO:0010383)	125	17	6.01e+00	+	2.83e+00	2.91e-04	4.79e-03
vesicle-mediated transport (GO:0016192)	479	43	2.30e+01	+	1.87e+00	2.94e-04	4.82e-03
multicellular organism development (GO:0007275)	604	51	2.91e+01	+	1.76e+00	3.09e-04	5.05e-03
cellular macromolecule localization (GO:0070727)	574	49	2.76e+01	+	1.77e+00	3.15e-04	5.14e-03
organelle localization (GO:0051640)	126	17	6.06e+00	+	2.81e+00	3.16e-04	5.13e-03
organic acid metabolic process (GO:0006082)	860	67	4.14e+01	+	1.62e+00	3.28e-04	5.32e-03
base-excision repair (GO:0006284)	31	8	1.49e+00	+	5.37e+00	3.34e-04	5.39e-03
steroid metabolic process (GO:0008202)	103	15	4.95e+00	+	3.03e+00	3.38e-04	5.44e-03
cellular aromatic compound metabolic process (GO:0006725)	2592	166	1.25e+02	+	1.33e+00	3.53e-04	5.66e-03
response to organic substance (GO:0010033)	723	58	3.48e+01	+	1.67e+00	3.71e-04	5.93e-03
glucan catabolic process (GO:0009251)	50	10	2.41e+00	+	4.16e+00	3.75e-04	5.96e-03
sterol biosynthetic process (GO:0016126)	41	9	1.97e+00	+	4.56e+00	4.04e-04	6.41e-03
mitotic DNA replication initiation (GO:1902975)	5	4	2.41e-01	+	1.66e+01	4.63e-04	7.32e-03
nuclear cell cycle DNA replication initiation (GO:1902315)	5	4	2.41e-01	+	1.66e+01	4.63e-04	7.30e-03
regulation of monopolar cell growth (GO:0051513)	5	4	2.41e-01	+	1.66e+01	4.63e-04	7.27e-03
cell cycle DNA replication initiation (GO:1902292)	5	4	2.41e-01	+	1.66e+01	4.63e-04	7.25e-03
cellular response to steroid hormone stimulus (GO:0071383)	42	9	2.02e+00	+	4.46e+00	4.71e-04	7.35e-03
cellular response to brassinosteroid stimulus (GO:0071367)	42	9	2.02e+00	+	4.46e+00	4.71e-04	7.33e-03
response to steroid hormone (GO:0048545)	42	9	2.02e+00	+	4.46e+00	4.71e-04	7.30e-03
brassinosteroid mediated signaling pathway (GO:0009742)	42	9	2.02e+00	+	4.46e+00	4.71e-04	7.28e-03
steroid hormone mediated signaling pathway (GO:0043401)	42	9	2.02e+00	+	4.46e+00	4.71e-04	7.26e-03
starch biosynthetic process (GO:0019252)	33	8	1.59e+00	+	5.04e+00	4.78e-04	7.34e-03
positive regulation of transferase activity (GO:0051347)	33	8	1.59e+00	+	5.04e+00	4.78e-04	7.32e-03
phenylpropanoid metabolic process (GO:0009698)	84	13	4.04e+00	+	3.22e+00	4.93e-04	7.53e-03
macromolecule localization (GO:0033036)	959	72	4.61e+01	+	1.56e+00	4.99e-04	7.59e-03
nucleoside diphosphate phosphorylation (GO:0006165)	85	13	4.09e+00	+	3.18e+00	5.45e-04	8.27e-03
organic hydroxy compound biosynthetic process (GO:1901617)	146	18	7.02e+00	+	2.56e+00	5.68e-04	8.60e-03
regulation of ubiquitin-protein transferase activity (GO:0051438)	11	5	5.29e-01	+	9.45e+00	5.78e-04	8.72e-03
nucleoside phosphate metabolic process (GO:0006753)	309	30	1.49e+01	+	2.02e+00	6.09e-04	9.15e-03
posttranscriptional regulation of gene expression (GO:0010608)	265	2	1.27e+01	-	1.57e-01	6.09e-04	9.13e-03
pyruvate metabolic process (GO:0006090)	98	14	4.71e+00	+	2.97e+00	6.25e-04	9.33e-03
cellular polysaccharide catabolic process (GO:0044247)	44	9	2.12e+00	+	4.25e+00	6.32e-04	9.40e-03
nitrogen compound transport (GO:0071705)	1005	74	4.83e+01	+	1.53e+00	6.70e-04	9.95e-03
regulation of primary metabolic process (GO:0080090)	2647	167	1.27e+02	+	1.31e+00	6.74e-04	9.98e-03
regulation of macromolecule metabolic process (GO:0060255)	2827	177	1.36e+02	+	1.30e+00	7.02e-04	1.04e-02
organophosphate metabolic process (GO:0019637)	614	50	2.95e+01	+	1.69e+00	7.03e-04	1.03e-02
purine ribonucleotide metabolic process (GO:0009150)	210	23	1.01e+01	+	2.28e+00	7.08e-04	1.04e-02
regulation of microtubule polymerization or depolymerization (GO:0031110)	6	4	2.89e-01	+	1.39e+01	7.43e-04	1.09e-02
meiotic sister chromatid cohesion, centromeric (GO:0051754)	6	4	2.89e-01	+	1.39e+01	7.43e-04	1.08e-02
regulation of unidimensional cell growth (GO:0051510)	6	4	2.89e-01	+	1.39e+01	7.43e-04	1.08e-02
centromeric sister chromatid cohesion (GO:0070601)	6	4	2.89e-01	+	1.39e+01	7.43e-04	1.08e-02
activation of protein kinase activity (GO:0032147)	6	4	2.89e-01	+	1.39e+01	7.43e-04	1.07e-02
ADP metabolic process (GO:0046031)	77	12	3.70e+00	+	3.24e+00	7.58e-04	1.09e-02
ATP generation from ADP (GO:0006757)	77	12	3.70e+00	+	3.24e+00	7.58e-04	1.09e-02
glycolytic process (GO:0006096)	77	12	3.70e+00	+	3.24e+00	7.58e-04	1.08e-02
nucleotide-sugar biosynthetic process (GO:0009226)	36	8	1.73e+00	+	4.62e+00	7.85e-04	1.12e-02
fucose metabolic process (GO:0006004)	36	8	1.73e+00	+	4.62e+00	7.85e-04	1.12e-02
organic hydroxy compound metabolic process (GO:1901615)	256	26	1.23e+01	+	2.11e+00	8.17e-04	1.16e-02
peptidyl-amino acid modification (GO:0018193)	404	36	1.94e+01	+	1.85e+00	8.23e-04	1.16e-02
regulation of metabolic process (GO:0019222)	2912	181	1.40e+02	+	1.29e+00	8.29e-04	1.17e-02
RNA splicing (GO:0008380)	255	2	1.23e+01	-	1.63e-01	8.62e-04	1.21e-02
regulation of mitotic nuclear division (GO:0007088)	28	7	1.35e+00	+	5.20e+00	9.20e-04	1.29e-02
response to carbohydrate (GO:0009743)	28	7	1.35e+00	+	5.20e+00	9.20e-04	1.29e-02
purine ribonucleoside diphosphate metabolic process (GO:0009179)	79	12	3.80e+00	+	3.16e+00	9.26e-04	1.29e-02
purine nucleoside diphosphate metabolic process (GO:0009135)	79	12	3.80e+00	+	3.16e+00	9.26e-04	1.29e-02
ribonucleoprotein complex subunit organization (GO:0071826)	163	0	7.84e+00	-	0	9.94e-04	1.38e-02
positive regulation of catalytic activity (GO:0043085)	80	12	3.85e+00	+	3.12e+00	1.02e-03	1.41e-02
purine nucleotide metabolic process (GO:0006163)	220	23	1.06e+01	+	2.17e+00	1.02e-03	1.41e-02
regulation of nitrogen compound metabolic process (GO:0051171)	2620	164	1.26e+02	+	1.30e+00	1.05e-03	1.45e-02
regulation of actin cytoskeleton organization (GO:0032956)	38	8	1.83e+00	+	4.38e+00	1.06e-03	1.46e-02
methionine biosynthetic process (GO:0009086)	29	7	1.39e+00	+	5.02e+00	1.10e-03	1.50e-02
peptidyl-S-diacylglycerol-L-cysteine biosynthetic process from peptidyl-cysteine (GO:0018231)	29	7	1.39e+00	+	5.02e+00	1.10e-03	1.49e-02
peptidyl-L-cysteine S-palmitoylation (GO:0018230)	29	7	1.39e+00	+	5.02e+00	1.10e-03	1.49e-02
G1/S transition of mitotic cell cycle (GO:0000082)	7	4	3.37e-01	+	1.19e+01	1.13e-03	1.52e-02
cell cycle G1/S phase transition (GO:0044843)	7	4	3.37e-01	+	1.19e+01	1.13e-03	1.52e-02
UDP-xylose transmembrane transport (GO:0015790)	7	4	3.37e-01	+	1.19e+01	1.13e-03	1.52e-02
mitotic spindle assembly (GO:0090307)	7	4	3.37e-01	+	1.19e+01	1.13e-03	1.51e-02
monocarboxylic acid metabolic process (GO:0032787)	376	34	1.81e+01	+	1.88e+00	1.18e-03	1.58e-02
regulation of actin filament-based process (GO:0032970)	39	8	1.88e+00	+	4.26e+00	1.23e-03	1.65e-02
carbohydrate phosphorylation (GO:0046835)	39	8	1.88e+00	+	4.26e+00	1.23e-03	1.64e-02
cellular response to organic cyclic compound (GO:0071407)	49	9	2.36e+00	+	3.82e+00	1.24e-03	1.64e-02
response to brassinosteroid (GO:0009741)	49	9	2.36e+00	+	3.82e+00	1.24e-03	1.64e-02
heterocycle metabolic process (GO:0046483)	2467	155	1.19e+02	+	1.31e+00	1.26e-03	1.67e-02
methionine metabolic process (GO:0006555)	30	7	1.44e+00	+	4.85e+00	1.30e-03	1.71e-02
peptidyl-cysteine modification (GO:0018198)	30	7	1.44e+00	+	4.85e+00	1.30e-03	1.71e-02
regulation of protein ubiquitination (GO:0031396)	14	5	6.73e-01	+	7.42e+00	1.37e-03	1.80e-02
regulation of protein modification by small protein conjugation or removal (GO:1903320)	14	5	6.73e-01	+	7.42e+00	1.37e-03	1.79e-02
deoxyribonucleotide metabolic process (GO:0009262)	14	5	6.73e-01	+	7.42e+00	1.37e-03	1.79e-02
lipid metabolic process (GO:0006629)	951	69	4.57e+01	+	1.51e+00	1.43e-03	1.85e-02
pectin biosynthetic process (GO:0045489)	22	6	1.06e+00	+	5.67e+00	1.46e-03	1.89e-02
acetyl-CoA metabolic process (GO:0006084)	22	6	1.06e+00	+	5.67e+00	1.46e-03	1.89e-02
response to hormone (GO:0009725)	589	47	2.83e+01	+	1.66e+00	1.52e-03	1.96e-02
ribonucleoprotein complex assembly (GO:0022618)	157	0	7.55e+00	-	0	1.55e-03	1.99e-02
localization within membrane (GO:0051668)	158	18	7.60e+00	+	2.37e+00	1.55e-03	1.98e-02
regulation of developmental process (GO:0050793)	214	22	1.03e+01	+	2.14e+00	1.57e-03	2.00e-02
amide biosynthetic process (GO:0043604)	660	15	3.17e+01	-	4.72e-01	1.57e-03	2.00e-02
ribonucleoside diphosphate metabolic process (GO:0009185)	85	12	4.09e+00	+	2.94e+00	1.63e-03	2.07e-02
positive regulation of molecular function (GO:0044093)	85	12	4.09e+00	+	2.94e+00	1.63e-03	2.06e-02
protein localization to membrane (GO:0072657)	142	17	6.83e+00	+	2.49e+00	1.63e-03	2.07e-02
carboxylic acid biosynthetic process (GO:0046394)	402	35	1.93e+01	+	1.81e+00	1.70e-03	2.15e-02
meiotic chromosome condensation (GO:0010032)	3	3	1.44e-01	+	2.08e+01	1.74e-03	2.19e-02
syncytium formation (GO:0006949)	3	3	1.44e-01	+	2.08e+01	1.74e-03	2.18e-02
protein palmitoylation (GO:0018345)	32	7	1.54e+00	+	4.55e+00	1.79e-03	2.25e-02
nucleobase-containing compound metabolic process (GO:0006139)	2249	142	1.08e+02	+	1.31e+00	1.82e-03	2.27e-02
regulation of developmental growth (GO:0048638)	42	8	2.02e+00	+	3.96e+00	1.86e-03	2.32e-02
organic substance transport (GO:0071702)	1214	84	5.84e+01	+	1.44e+00	1.89e-03	2.35e-02
sterol metabolic process (GO:0016125)	87	12	4.18e+00	+	2.87e+00	1.94e-03	2.41e-02
sulfur compound biosynthetic process (GO:0044272)	112	14	5.39e+00	+	2.60e+00	1.98e-03	2.45e-02
regulation of DNA replication (GO:0006275)	24	6	1.15e+00	+	5.20e+00	2.13e-03	2.63e-02
protein autophosphorylation (GO:0046777)	113	14	5.44e+00	+	2.58e+00	2.13e-03	2.62e-02
response to endogenous stimulus (GO:0009719)	596	47	2.87e+01	+	1.64e+00	2.21e-03	2.72e-02
mitochondrion organization (GO:0007005)	147	0	7.07e+00	-	0	2.22e-03	2.71e-02
system development (GO:0048731)	457	38	2.20e+01	+	1.73e+00	2.27e-03	2.78e-02
hemicellulose metabolic process (GO:0010410)	114	14	5.48e+00	+	2.55e+00	2.30e-03	2.80e-02
pectin metabolic process (GO:0045488)	89	12	4.28e+00	+	2.80e+00	2.30e-03	2.80e-02
galacturonan metabolic process (GO:0010393)	89	12	4.28e+00	+	2.80e+00	2.30e-03	2.79e-02
carbohydrate derivative transport (GO:1901264)	78	11	3.75e+00	+	2.93e+00	2.52e-03	3.05e-02
multicellular organismal process (GO:0032501)	782	58	3.76e+01	+	1.54e+00	2.59e-03	3.12e-02
heterocycle biosynthetic process (GO:0018130)	691	52	3.32e+01	+	1.56e+00	2.59e-03	3.12e-02
ribonucleotide metabolic process (GO:0009259)	237	23	1.14e+01	+	2.02e+00	2.60e-03	3.12e-02
catabolic process (GO:0009056)	1575	103	7.58e+01	+	1.36e+00	2.91e-03	3.48e-02
pyrimidine deoxyribonucleoside monophosphate biosynthetic process (GO:0009177)	4	3	1.92e-01	+	1.56e+01	2.94e-03	3.51e-02
pyrimidine deoxyribonucleoside monophosphate metabolic process (GO:0009176)	4	3	1.92e-01	+	1.56e+01	2.94e-03	3.50e-02
DNA replication, synthesis of RNA primer (GO:0006269)	4	3	1.92e-01	+	1.56e+01	2.94e-03	3.49e-02
DNA replication preinitiation complex assembly (GO:0071163)	4	3	1.92e-01	+	1.56e+01	2.94e-03	3.48e-02
protein localization to cytoskeleton (GO:0044380)	4	3	1.92e-01	+	1.56e+01	2.94e-03	3.47e-02
protein localization to microtubule cytoskeleton (GO:0072698)	4	3	1.92e-01	+	1.56e+01	2.94e-03	3.46e-02
establishment of localization in cell (GO:0051649)	712	53	3.42e+01	+	1.55e+00	2.98e-03	3.50e-02
glucose homeostasis (GO:0042593)	10	4	4.81e-01	+	8.32e+00	3.06e-03	3.59e-02
cellular glucose homeostasis (GO:0001678)	10	4	4.81e-01	+	8.32e+00	3.06e-03	3.58e-02
response to hexose (GO:0009746)	10	4	4.81e-01	+	8.32e+00	3.06e-03	3.57e-02
response to monosaccharide (GO:0034284)	10	4	4.81e-01	+	8.32e+00	3.06e-03	3.56e-02
nucleoside diphosphate metabolic process (GO:0009132)	106	13	5.10e+00	+	2.55e+00	3.27e-03	3.80e-02
interstrand cross-link repair (GO:0036297)	18	5	8.66e-01	+	5.78e+00	3.41e-03	3.95e-02
organic acid biosynthetic process (GO:0016053)	425	35	2.04e+01	+	1.71e+00	3.44e-03	3.98e-02
cellulose catabolic process (GO:0030245)	27	6	1.30e+00	+	4.62e+00	3.53e-03	4.07e-02
beta-glucan catabolic process (GO:0051275)	27	6	1.30e+00	+	4.62e+00	3.53e-03	4.06e-02
nucleobase-containing compound biosynthetic process (GO:0034654)	536	42	2.58e+01	+	1.63e+00	3.54e-03	4.06e-02
negative regulation of cellular process (GO:0048523)	539	42	2.59e+01	+	1.62e+00	3.70e-03	4.24e-02
regulation of gene expression, epigenetic (GO:0040029)	59	9	2.84e+00	+	3.17e+00	3.80e-03	4.34e-02
carbohydrate homeostasis (GO:0033500)	11	4	5.29e-01	+	7.56e+00	4.02e-03	4.58e-02
generation of precursor metabolites and energy (GO:0006091)	444	36	2.14e+01	+	1.69e+00	4.10e-03	4.66e-02
anaphase-promoting complex-dependent catabolic process (GO:0031145)	19	5	9.14e-01	+	5.47e+00	4.15e-03	4.70e-02
protein N-linked glycosylation (GO:0006487)	38	7	1.83e+00	+	3.83e+00	4.17e-03	4.71e-02
leaf development (GO:0048366)	60	9	2.89e+00	+	3.12e+00	4.20e-03	4.74e-02
starch metabolic process (GO:0005982)	49	8	2.36e+00	+	3.39e+00	4.32e-03	4.87e-02
purine-containing compound metabolic process (GO:0072521)	241	23	1.16e+01	+	1.98e+00	4.36e-03	4.90e-02
