GO biological process complete	Oryza sativa - REFLIST (43659)	Gene-List	Gene-List (expected)	Over/Under Representation	Fold Enrichment	raw P-value	FDR
establishment of protein localization to organelle (GO:0072594)	249	35	1.74e+01	+	2.01e+00	3.87e-04	7.16e-03
response to water (GO:0009415)	71	15	4.96e+00	+	3.02e+00	4.27e-04	7.86e-03
positive regulation of cellular catabolic process (GO:0031331)	109	20	7.62e+00	+	2.63e+00	4.33e-04	7.96e-03
sterol biosynthetic process (GO:0016126)	41	11	2.87e+00	+	3.84e+00	4.51e-04	8.25e-03
nucleotide phosphorylation (GO:0046939)	88	17	6.15e+00	+	2.76e+00	4.53e-04	8.25e-03
ER-associated misfolded protein catabolic process (GO:0071712)	16	7	1.12e+00	+	6.26e+00	4.86e-04	8.83e-03
cellular response to nitrogen starvation (GO:0006995)	16	7	1.12e+00	+	6.26e+00	4.86e-04	8.79e-03
cell death (GO:0008219)	28	9	1.96e+00	+	4.60e+00	4.98e-04	8.97e-03
cellular response to endogenous stimulus (GO:0071495)	401	49	2.80e+01	+	1.75e+00	5.00e-04	8.98e-03
regulation of cellular protein catabolic process (GO:1903362)	49	12	3.42e+00	+	3.50e+00	5.10e-04	9.12e-03
regulation of proteolysis involved in cellular protein catabolic process (GO:1903050)	49	12	3.42e+00	+	3.50e+00	5.10e-04	9.09e-03
cold acclimation (GO:0009631)	11	6	7.69e-01	+	7.81e+00	5.10e-04	9.06e-03
RNA modification (GO:0009451)	291	6	2.03e+01	-	2.95e-01	5.47e-04	9.66e-03
late endosome to vacuole transport via multivesicular body sorting pathway (GO:0032511)	29	9	2.03e+00	+	4.44e+00	6.15e-04	1.08e-02
lysosomal microautophagy (GO:0016237)	7	5	4.89e-01	+	1.02e+01	6.36e-04	1.12e-02
piecemeal microautophagy of the nucleus (GO:0034727)	7	5	4.89e-01	+	1.02e+01	6.36e-04	1.11e-02
amine biosynthetic process (GO:0009309)	36	10	2.52e+00	+	3.97e+00	6.46e-04	1.13e-02
cellular biogenic amine biosynthetic process (GO:0042401)	36	10	2.52e+00	+	3.97e+00	6.46e-04	1.12e-02
endosome transport via multivesicular body sorting pathway (GO:0032509)	36	10	2.52e+00	+	3.97e+00	6.46e-04	1.12e-02
multivesicular body sorting pathway (GO:0071985)	36	10	2.52e+00	+	3.97e+00	6.46e-04	1.11e-02
regulation of response to water deprivation (GO:2000070)	17	7	1.19e+00	+	5.89e+00	6.48e-04	1.11e-02
positive regulation of proteolysis (GO:0045862)	51	12	3.56e+00	+	3.37e+00	6.92e-04	1.19e-02
cellular amino acid biosynthetic process (GO:0008652)	203	29	1.42e+01	+	2.04e+00	7.50e-04	1.28e-02
peptidyl-serine phosphorylation (GO:0018105)	84	16	5.87e+00	+	2.73e+00	7.51e-04	1.28e-02
response to acid chemical (GO:0001101)	76	15	5.31e+00	+	2.82e+00	7.90e-04	1.34e-02
nucleobase-containing compound transport (GO:0015931)	146	23	1.02e+01	+	2.25e+00	8.16e-04	1.38e-02
peptidyl-serine modification (GO:0018209)	85	16	5.94e+00	+	2.69e+00	8.39e-04	1.41e-02
negative regulation of metabolic process (GO:0009892)	542	61	3.79e+01	+	1.61e+00	8.40e-04	1.41e-02
organic cyclic compound metabolic process (GO:1901360)	2670	234	1.87e+02	+	1.25e+00	8.42e-04	1.41e-02
cellular response to oxygen-containing compound (GO:1901701)	193	28	1.35e+01	+	2.08e+00	8.53e-04	1.42e-02
mitochondrion organization (GO:0007005)	147	23	1.03e+01	+	2.24e+00	8.66e-04	1.44e-02
NADP metabolic process (GO:0006739)	31	9	2.17e+00	+	4.15e+00	9.17e-04	1.52e-02
negative regulation of macromolecule metabolic process (GO:0010605)	526	59	3.68e+01	+	1.61e+00	9.68e-04	1.59e-02
secondary alcohol metabolic process (GO:1902652)	8	5	5.59e-01	+	8.94e+00	9.78e-04	1.61e-02
isocitrate metabolic process (GO:0006102)	8	5	5.59e-01	+	8.94e+00	9.78e-04	1.60e-02
phospholipid biosynthetic process (GO:0008654)	166	25	1.16e+01	+	2.16e+00	9.80e-04	1.60e-02
indolalkylamine metabolic process (GO:0006586)	25	8	1.75e+00	+	4.58e+00	1.04e-03	1.69e-02
tryptophan metabolic process (GO:0006568)	25	8	1.75e+00	+	4.58e+00	1.04e-03	1.69e-02
cellular biogenic amine metabolic process (GO:0006576)	54	12	3.77e+00	+	3.18e+00	1.07e-03	1.72e-02
cellular amine metabolic process (GO:0044106)	54	12	3.77e+00	+	3.18e+00	1.07e-03	1.71e-02
positive regulation of response to salt stress (GO:1901002)	19	7	1.33e+00	+	5.27e+00	1.10e-03	1.76e-02
negative regulation of cellular process (GO:0048523)	539	60	3.77e+01	+	1.59e+00	1.10e-03	1.76e-02
positive regulation of cellular protein catabolic process (GO:1903364)	47	11	3.28e+00	+	3.35e+00	1.19e-03	1.89e-02
positive regulation of proteolysis involved in cellular protein catabolic process (GO:1903052)	47	11	3.28e+00	+	3.35e+00	1.19e-03	1.88e-02
positive regulation of proteasomal protein catabolic process (GO:1901800)	47	11	3.28e+00	+	3.35e+00	1.19e-03	1.88e-02
ERAD pathway (GO:0036503)	55	12	3.84e+00	+	3.12e+00	1.22e-03	1.93e-02
immune response (GO:0006955)	282	36	1.97e+01	+	1.83e+00	1.30e-03	2.04e-02
defense response to other organism (GO:0098542)	282	36	1.97e+01	+	1.83e+00	1.30e-03	2.03e-02
lipid localization (GO:0010876)	131	21	9.15e+00	+	2.29e+00	1.33e-03	2.08e-02
positive regulation of response to water deprivation (GO:1902584)	14	6	9.78e-01	+	6.13e+00	1.35e-03	2.10e-02
NAD metabolic process (GO:0019674)	14	6	9.78e-01	+	6.13e+00	1.35e-03	2.09e-02
regulation of proteasomal protein catabolic process (GO:0061136)	48	11	3.35e+00	+	3.28e+00	1.37e-03	2.12e-02
positive regulation of protein catabolic process (GO:0045732)	64	13	4.47e+00	+	2.91e+00	1.37e-03	2.12e-02
immune system process (GO:0002376)	284	36	1.98e+01	+	1.81e+00	1.39e-03	2.13e-02
carboxylic acid biosynthetic process (GO:0046394)	402	47	2.81e+01	+	1.67e+00	1.45e-03	2.22e-02
alcohol metabolic process (GO:0006066)	107	18	7.48e+00	+	2.41e+00	1.51e-03	2.30e-02
peptidyl-amino acid modification (GO:0018193)	404	47	2.82e+01	+	1.66e+00	1.52e-03	2.31e-02
small molecule biosynthetic process (GO:0044283)	571	62	3.99e+01	+	1.55e+00	1.52e-03	2.30e-02
ethylene-activated signaling pathway (GO:0009873)	65	13	4.54e+00	+	2.86e+00	1.55e-03	2.35e-02
phosphatidylinositol phosphate biosynthetic process (GO:0046854)	49	11	3.42e+00	+	3.21e+00	1.58e-03	2.39e-02
protein quality control for misfolded or incompletely synthesized proteins (GO:0006515)	34	9	2.38e+00	+	3.79e+00	1.58e-03	2.38e-02
indole-containing compound metabolic process (GO:0042430)	34	9	2.38e+00	+	3.79e+00	1.58e-03	2.37e-02
organophosphate ester transport (GO:0015748)	57	12	3.98e+00	+	3.01e+00	1.59e-03	2.38e-02
alpha-amino acid biosynthetic process (GO:1901607)	164	24	1.15e+01	+	2.09e+00	1.60e-03	2.39e-02
positive regulation of cellular protein metabolic process (GO:0032270)	108	18	7.55e+00	+	2.38e+00	1.62e-03	2.40e-02
glycerolipid biosynthetic process (GO:0045017)	136	21	9.50e+00	+	2.21e+00	1.70e-03	2.52e-02
cellular response to ethylene stimulus (GO:0071369)	66	13	4.61e+00	+	2.82e+00	1.75e-03	2.58e-02
pyrimidine nucleoside triphosphate metabolic process (GO:0009147)	21	7	1.47e+00	+	4.77e+00	1.76e-03	2.59e-02
protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway (GO:0043328)	15	6	1.05e+00	+	5.72e+00	1.78e-03	2.62e-02
NADH metabolic process (GO:0006734)	15	6	1.05e+00	+	5.72e+00	1.78e-03	2.61e-02
positive regulation of protein metabolic process (GO:0051247)	125	20	8.74e+00	+	2.29e+00	1.85e-03	2.70e-02
glycerophospholipid biosynthetic process (GO:0046474)	126	20	8.81e+00	+	2.27e+00	1.93e-03	2.80e-02
biosynthetic process (GO:0009058)	2832	243	1.98e+02	+	1.23e+00	1.94e-03	2.81e-02
defense response to fungus (GO:0050832)	67	13	4.68e+00	+	2.78e+00	1.96e-03	2.84e-02
NADH oxidation (GO:0006116)	10	5	6.99e-01	+	7.15e+00	2.04e-03	2.94e-02
protein localization to phagophore assembly site (GO:0034497)	10	5	6.99e-01	+	7.15e+00	2.04e-03	2.93e-02
regulation of transcription by RNA polymerase II (GO:0006357)	490	54	3.42e+01	+	1.58e+00	2.18e-03	3.12e-02
seed germination (GO:0009845)	22	7	1.54e+00	+	4.55e+00	2.19e-03	3.13e-02
response to heat (GO:0009408)	102	17	7.13e+00	+	2.38e+00	2.22e-03	3.16e-02
CTP metabolic process (GO:0046036)	16	6	1.12e+00	+	5.37e+00	2.32e-03	3.29e-02
coenzyme A metabolic process (GO:0015936)	16	6	1.12e+00	+	5.37e+00	2.32e-03	3.28e-02
pyrimidine ribonucleoside triphosphate biosynthetic process (GO:0009209)	16	6	1.12e+00	+	5.37e+00	2.32e-03	3.27e-02
pyrimidine ribonucleoside triphosphate metabolic process (GO:0009208)	16	6	1.12e+00	+	5.37e+00	2.32e-03	3.26e-02
long-chain fatty acid metabolic process (GO:0001676)	16	6	1.12e+00	+	5.37e+00	2.32e-03	3.25e-02
CTP biosynthetic process (GO:0006241)	16	6	1.12e+00	+	5.37e+00	2.32e-03	3.24e-02
mitochondrial transmembrane transport (GO:1990542)	69	13	4.82e+00	+	2.70e+00	2.46e-03	3.44e-02
organic substance biosynthetic process (GO:1901576)	2696	231	1.88e+02	+	1.23e+00	2.57e-03	3.57e-02
protein modification by small protein removal (GO:0070646)	119	19	8.32e+00	+	2.28e+00	2.60e-03	3.60e-02
organic acid biosynthetic process (GO:0016053)	425	48	2.97e+01	+	1.62e+00	2.61e-03	3.61e-02
regulation of cellular amide metabolic process (GO:0034248)	219	29	1.53e+01	+	1.89e+00	2.66e-03	3.66e-02
lipid transport (GO:0006869)	120	19	8.39e+00	+	2.27e+00	2.69e-03	3.69e-02
aging (GO:0007568)	23	7	1.61e+00	+	4.36e+00	2.70e-03	3.70e-02
response to organonitrogen compound (GO:0010243)	70	13	4.89e+00	+	2.66e+00	2.75e-03	3.76e-02
selective autophagy (GO:0061912)	6	4	4.19e-01	+	9.54e+00	2.77e-03	3.78e-02
lipid biosynthetic process (GO:0008610)	549	59	3.84e+01	+	1.54e+00	2.79e-03	3.79e-02
oligosaccharide catabolic process (GO:0009313)	17	6	1.19e+00	+	5.05e+00	2.97e-03	4.02e-02
pyrimidine nucleoside triphosphate biosynthetic process (GO:0009148)	17	6	1.19e+00	+	5.05e+00	2.97e-03	4.01e-02
disaccharide catabolic process (GO:0046352)	17	6	1.19e+00	+	5.05e+00	2.97e-03	4.00e-02
tricarboxylic acid metabolic process (GO:0072350)	17	6	1.19e+00	+	5.05e+00	2.97e-03	3.98e-02
amine metabolic process (GO:0009308)	96	16	6.71e+00	+	2.38e+00	3.05e-03	4.09e-02
carboxylic acid transmembrane transport (GO:1905039)	55	11	3.84e+00	+	2.86e+00	3.47e-03	4.63e-02
organic acid transmembrane transport (GO:1903825)	55	11	3.84e+00	+	2.86e+00	3.47e-03	4.62e-02
sucrose metabolic process (GO:0005985)	39	9	2.73e+00	+	3.30e+00	3.51e-03	4.67e-02
regulation of translation (GO:0006417)	215	28	1.50e+01	+	1.86e+00	3.73e-03	4.95e-02
ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway (GO:0043162)	18	6	1.26e+00	+	4.77e+00	3.74e-03	4.94e-02
