GO biological process complete	Oryza sativa - REFLIST (43659)	Gene-List	Gene-List (expected)	Over/Under Representation	Fold Enrichment	raw P-value	FDR
positive regulation of cell cycle process (GO:0090068)	19	7	8.22e-01	+	8.52e+00	6.85e-05	1.29e-03
nucleobase biosynthetic process (GO:0046112)	27	8	1.17e+00	+	6.85e+00	7.44e-05	1.39e-03
cellular amino acid biosynthetic process (GO:0008652)	203	23	8.78e+00	+	2.62e+00	7.47e-05	1.39e-03
heterocycle catabolic process (GO:0046700)	203	23	8.78e+00	+	2.62e+00	7.47e-05	1.39e-03
regulation of mitotic cell cycle (GO:0007346)	65	12	2.81e+00	+	4.27e+00	7.54e-05	1.39e-03
tRNA pseudouridine synthesis (GO:0031119)	7	5	3.03e-01	+	1.65e+01	7.57e-05	1.39e-03
mitochondrial DNA replication (GO:0006264)	7	5	3.03e-01	+	1.65e+01	7.57e-05	1.39e-03
'de novo' UMP biosynthetic process (GO:0044205)	7	5	3.03e-01	+	1.65e+01	7.57e-05	1.38e-03
positive regulation of translational fidelity (GO:0045903)	7	5	3.03e-01	+	1.65e+01	7.57e-05	1.38e-03
positive regulation of helicase activity (GO:0051096)	7	5	3.03e-01	+	1.65e+01	7.57e-05	1.37e-03
cellular nitrogen compound catabolic process (GO:0044270)	205	23	8.87e+00	+	2.59e+00	8.55e-05	1.55e-03
anatomical structure development (GO:0048856)	718	55	3.11e+01	+	1.77e+00	1.17e-04	2.11e-03
cytidine to uridine editing (GO:0016554)	14	6	6.06e-01	+	9.91e+00	1.18e-04	2.12e-03
mitochondrial RNA processing (GO:0000963)	14	6	6.06e-01	+	9.91e+00	1.18e-04	2.12e-03
RNA (guanine-N7)-methylation (GO:0036265)	8	5	3.46e-01	+	1.44e+01	1.19e-04	2.12e-03
snRNA pseudouridine synthesis (GO:0031120)	8	5	3.46e-01	+	1.44e+01	1.19e-04	2.11e-03
small nucleolar ribonucleoprotein complex assembly (GO:0000491)	8	5	3.46e-01	+	1.44e+01	1.19e-04	2.10e-03
endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000447)	8	5	3.46e-01	+	1.44e+01	1.19e-04	2.09e-03
regulation of chromosome segregation (GO:0051983)	30	8	1.30e+00	+	6.16e+00	1.38e-04	2.43e-03
establishment of protein localization to mitochondrial membrane (GO:0090151)	30	8	1.30e+00	+	6.16e+00	1.38e-04	2.42e-03
recombinational repair (GO:0000725)	93	14	4.02e+00	+	3.48e+00	1.39e-04	2.43e-03
regulation of macromolecule metabolic process (GO:0060255)	2827	166	1.22e+02	+	1.36e+00	1.43e-04	2.48e-03
multicellular organism development (GO:0007275)	604	48	2.61e+01	+	1.84e+00	1.46e-04	2.53e-03
polysaccharide metabolic process (GO:0005976)	377	3	1.63e+01	-	1.84e-01	1.48e-04	2.55e-03
DNA dealkylation (GO:0035510)	15	6	6.49e-01	+	9.24e+00	1.60e-04	2.75e-03
regulation of response to DNA damage stimulus (GO:2001020)	15	6	6.49e-01	+	9.24e+00	1.60e-04	2.74e-03
tRNA surveillance (GO:0106354)	9	5	3.89e-01	+	1.28e+01	1.78e-04	3.04e-03
tRNA catabolic process (GO:0016078)	9	5	3.89e-01	+	1.28e+01	1.78e-04	3.03e-03
snRNA modification (GO:0040031)	9	5	3.89e-01	+	1.28e+01	1.78e-04	3.02e-03
nuclear polyadenylation-dependent ncRNA catabolic process (GO:0071046)	9	5	3.89e-01	+	1.28e+01	1.78e-04	3.01e-03
nuclear polyadenylation-dependent tRNA catabolic process (GO:0071038)	9	5	3.89e-01	+	1.28e+01	1.78e-04	3.00e-03
nuclear polyadenylation-dependent rRNA catabolic process (GO:0071035)	9	5	3.89e-01	+	1.28e+01	1.78e-04	2.99e-03
nuclear ncRNA surveillance (GO:0071029)	9	5	3.89e-01	+	1.28e+01	1.78e-04	2.98e-03
polyadenylation-dependent ncRNA catabolic process (GO:0043634)	9	5	3.89e-01	+	1.28e+01	1.78e-04	2.97e-03
polyadenylation-dependent RNA catabolic process (GO:0043633)	9	5	3.89e-01	+	1.28e+01	1.78e-04	2.96e-03
protein transport (GO:0015031)	696	53	3.01e+01	+	1.76e+00	1.92e-04	3.17e-03
regulation of mitotic cell cycle phase transition (GO:1901990)	51	10	2.21e+00	+	4.53e+00	1.92e-04	3.16e-03
histone acetylation (GO:0016573)	32	8	1.38e+00	+	5.78e+00	2.02e-04	3.32e-03
mitochondrial membrane organization (GO:0007006)	32	8	1.38e+00	+	5.78e+00	2.02e-04	3.31e-03
internal protein amino acid acetylation (GO:0006475)	32	8	1.38e+00	+	5.78e+00	2.02e-04	3.30e-03
peptidyl-lysine acetylation (GO:0018394)	32	8	1.38e+00	+	5.78e+00	2.02e-04	3.29e-03
internal peptidyl-lysine acetylation (GO:0018393)	32	8	1.38e+00	+	5.78e+00	2.02e-04	3.28e-03
establishment of protein localization (GO:0045184)	702	53	3.04e+01	+	1.74e+00	2.11e-04	3.41e-03
ribonucleoprotein complex export from nucleus (GO:0071426)	52	10	2.25e+00	+	4.44e+00	2.20e-04	3.55e-03
ribonucleoprotein complex localization (GO:0071166)	52	10	2.25e+00	+	4.44e+00	2.20e-04	3.53e-03
nuclear-transcribed mRNA catabolic process (GO:0000956)	98	14	4.24e+00	+	3.30e+00	2.27e-04	3.63e-03
DNA integrity checkpoint signaling (GO:0031570)	24	7	1.04e+00	+	6.74e+00	2.28e-04	3.63e-03
regulation of nuclear division (GO:0051783)	33	8	1.43e+00	+	5.60e+00	2.42e-04	3.85e-03
formation of translation preinitiation complex (GO:0001731)	10	5	4.33e-01	+	1.16e+01	2.59e-04	4.09e-03
embryo sac central cell differentiation (GO:0009559)	10	5	4.33e-01	+	1.16e+01	2.59e-04	4.08e-03
negative regulation of DNA metabolic process (GO:0051053)	17	6	7.36e-01	+	8.16e+00	2.77e-04	4.35e-03
nucleotide phosphorylation (GO:0046939)	88	13	3.81e+00	+	3.41e+00	2.81e-04	4.40e-03
branched-chain amino acid biosynthetic process (GO:0009082)	25	7	1.08e+00	+	6.47e+00	2.82e-04	4.40e-03
production of siRNA involved in RNA interference (GO:0030422)	25	7	1.08e+00	+	6.47e+00	2.82e-04	4.39e-03
transcription by RNA polymerase III (GO:0006383)	25	7	1.08e+00	+	6.47e+00	2.82e-04	4.37e-03
regulation of organelle organization (GO:0033043)	114	15	4.93e+00	+	3.04e+00	3.08e-04	4.76e-03
protein targeting (GO:0006605)	225	23	9.74e+00	+	2.36e+00	3.23e-04	4.98e-03
cellular macromolecule localization (GO:0070727)	574	45	2.48e+01	+	1.81e+00	3.30e-04	5.08e-03
carbohydrate derivative biosynthetic process (GO:1901137)	393	34	1.70e+01	+	2.00e+00	3.31e-04	5.06e-03
macromolecule localization (GO:0033036)	959	67	4.15e+01	+	1.61e+00	3.34e-04	5.10e-03
RNA interference (GO:0016246)	26	7	1.12e+00	+	6.22e+00	3.45e-04	5.25e-03
chloroplast fission (GO:0010020)	18	6	7.79e-01	+	7.70e+00	3.57e-04	5.41e-03
plastid fission (GO:0043572)	18	6	7.79e-01	+	7.70e+00	3.57e-04	5.39e-03
regulation of cell cycle (GO:0051726)	211	22	9.13e+00	+	2.41e+00	3.60e-04	5.42e-03
positive regulation of mitotic sister chromatid separation (GO:1901970)	11	5	4.76e-01	+	1.05e+01	3.63e-04	5.46e-03
positive regulation of metaphase/anaphase transition of cell cycle (GO:1902101)	11	5	4.76e-01	+	1.05e+01	3.63e-04	5.44e-03
positive regulation of mitotic metaphase/anaphase transition (GO:0045842)	11	5	4.76e-01	+	1.05e+01	3.63e-04	5.42e-03
positive regulation of mitotic nuclear division (GO:0045840)	11	5	4.76e-01	+	1.05e+01	3.63e-04	5.41e-03
positive regulation of chromosome separation (GO:1905820)	11	5	4.76e-01	+	1.05e+01	3.63e-04	5.39e-03
protein-containing complex localization (GO:0031503)	56	10	2.42e+00	+	4.13e+00	3.72e-04	5.51e-03
meiotic cell cycle (GO:0051321)	130	16	5.62e+00	+	2.84e+00	3.88e-04	5.72e-03
dsRNA processing (GO:0031050)	36	8	1.56e+00	+	5.14e+00	4.03e-04	5.92e-03
production of small RNA involved in gene silencing by RNA (GO:0070918)	36	8	1.56e+00	+	5.14e+00	4.03e-04	5.90e-03
protein insertion into membrane (GO:0051205)	36	8	1.56e+00	+	5.14e+00	4.03e-04	5.88e-03
RNA export from nucleus (GO:0006405)	46	9	1.99e+00	+	4.52e+00	4.04e-04	5.88e-03
protein insertion into mitochondrial membrane (GO:0051204)	27	7	1.17e+00	+	5.99e+00	4.19e-04	6.09e-03
positive regulation of cell cycle (GO:0045787)	27	7	1.17e+00	+	5.99e+00	4.19e-04	6.07e-03
mitochondrial RNA modification (GO:1900864)	19	6	8.22e-01	+	7.30e+00	4.53e-04	6.54e-03
positive regulation of translation (GO:0045727)	19	6	8.22e-01	+	7.30e+00	4.53e-04	6.52e-03
nucleobase metabolic process (GO:0009112)	37	8	1.60e+00	+	5.00e+00	4.72e-04	6.77e-03
RNA phosphodiester bond hydrolysis, exonucleolytic (GO:0090503)	58	10	2.51e+00	+	3.98e+00	4.76e-04	6.81e-03
UMP metabolic process (GO:0046049)	12	5	5.19e-01	+	9.63e+00	4.97e-04	7.09e-03
pyrimidine ribonucleoside monophosphate biosynthetic process (GO:0009174)	12	5	5.19e-01	+	9.63e+00	4.97e-04	7.07e-03
pyrimidine ribonucleoside monophosphate metabolic process (GO:0009173)	12	5	5.19e-01	+	9.63e+00	4.97e-04	7.05e-03
regulation of DNA repair (GO:0006282)	12	5	5.19e-01	+	9.63e+00	4.97e-04	7.03e-03
UMP biosynthetic process (GO:0006222)	12	5	5.19e-01	+	9.63e+00	4.97e-04	7.01e-03
DNA demethylation (GO:0080111)	12	5	5.19e-01	+	9.63e+00	4.97e-04	6.99e-03
regulation of mitotic nuclear division (GO:0007088)	28	7	1.21e+00	+	5.78e+00	5.05e-04	7.08e-03
branched-chain amino acid metabolic process (GO:0009081)	28	7	1.21e+00	+	5.78e+00	5.05e-04	7.06e-03
regulation of sister chromatid segregation (GO:0033045)	28	7	1.21e+00	+	5.78e+00	5.05e-04	7.04e-03
peptidyl-arginine omega-N-methylation (GO:0035247)	6	4	2.60e-01	+	1.54e+01	5.06e-04	7.04e-03
mitochondrial proton-transporting ATP synthase complex assembly (GO:0033615)	6	4	2.60e-01	+	1.54e+01	5.06e-04	7.02e-03
negative regulation of cell cycle process (GO:0010948)	48	9	2.08e+00	+	4.33e+00	5.30e-04	7.33e-03
positive regulation of metabolic process (GO:0009893)	551	43	2.38e+01	+	1.80e+00	5.48e-04	7.56e-03
pyrimidine nucleotide metabolic process (GO:0006220)	38	8	1.64e+00	+	4.87e+00	5.51e-04	7.57e-03
positive regulation of cellular amide metabolic process (GO:0034250)	20	6	8.65e-01	+	6.93e+00	5.68e-04	7.78e-03
organic acid biosynthetic process (GO:0016053)	425	35	1.84e+01	+	1.90e+00	5.85e-04	7.99e-03
carboxylic acid biosynthetic process (GO:0046394)	402	34	1.74e+01	+	1.95e+00	6.03e-04	8.21e-03
cell cycle checkpoint signaling (GO:0000075)	39	8	1.69e+00	+	4.74e+00	6.40e-04	8.69e-03
exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000467)	13	5	5.62e-01	+	8.89e+00	6.65e-04	9.01e-03
exonucleolytic trimming involved in rRNA processing (GO:0000459)	13	5	5.62e-01	+	8.89e+00	6.65e-04	8.98e-03
post-transcriptional gene silencing by RNA (GO:0035194)	40	8	1.73e+00	+	4.62e+00	7.40e-04	9.97e-03
regulation of cellular component organization (GO:0051128)	175	19	7.57e+00	+	2.51e+00	7.56e-04	1.02e-02
box C/D snoRNP assembly (GO:0000492)	7	4	3.03e-01	+	1.32e+01	7.70e-04	1.03e-02
maintenance of DNA repeat elements (GO:0043570)	7	4	3.03e-01	+	1.32e+01	7.70e-04	1.03e-02
cell wall organization or biogenesis (GO:0071554)	417	5	1.80e+01	-	2.77e-01	7.90e-04	1.05e-02
base-excision repair (GO:0006284)	31	7	1.34e+00	+	5.22e+00	8.50e-04	1.13e-02
protein import into mitochondrial matrix (GO:0030150)	31	7	1.34e+00	+	5.22e+00	8.50e-04	1.13e-02
positive regulation of mitotic cell cycle phase transition (GO:1901992)	14	5	6.06e-01	+	8.25e+00	8.72e-04	1.15e-02
positive regulation of cell cycle phase transition (GO:1901989)	14	5	6.06e-01	+	8.25e+00	8.72e-04	1.15e-02
positive regulation of mitotic cell cycle (GO:0045931)	14	5	6.06e-01	+	8.25e+00	8.72e-04	1.15e-02
aspartate family amino acid biosynthetic process (GO:0009067)	52	9	2.25e+00	+	4.00e+00	8.81e-04	1.15e-02
positive regulation of cellular metabolic process (GO:0031325)	521	40	2.25e+01	+	1.77e+00	8.99e-04	1.17e-02
cell division (GO:0051301)	198	20	8.57e+00	+	2.33e+00	9.09e-04	1.18e-02
aromatic compound catabolic process (GO:0019439)	242	23	1.05e+01	+	2.20e+00	9.10e-04	1.18e-02
positive regulation of macromolecule metabolic process (GO:0010604)	534	41	2.31e+01	+	1.77e+00	9.75e-04	1.26e-02
small molecule biosynthetic process (GO:0044283)	571	43	2.47e+01	+	1.74e+00	9.96e-04	1.29e-02
nuclear-transcribed mRNA catabolic process, exonucleolytic (GO:0000291)	32	7	1.38e+00	+	5.06e+00	1.00e-03	1.29e-02
ion homeostasis (GO:0050801)	181	0	7.83e+00	-	0	1.03e-03	1.32e-02
organic cyclic compound catabolic process (GO:1901361)	247	23	1.07e+01	+	2.15e+00	1.10e-03	1.41e-02
histidine biosynthetic process (GO:0000105)	8	4	3.46e-01	+	1.16e+01	1.12e-03	1.43e-02
histidine metabolic process (GO:0006547)	8	4	3.46e-01	+	1.16e+01	1.12e-03	1.42e-02
mitochondrial protein processing (GO:0034982)	8	4	3.46e-01	+	1.16e+01	1.12e-03	1.42e-02
RNA splicing, via endonucleolytic cleavage and ligation (GO:0000394)	8	4	3.46e-01	+	1.16e+01	1.12e-03	1.42e-02
proton-transporting ATP synthase complex assembly (GO:0043461)	8	4	3.46e-01	+	1.16e+01	1.12e-03	1.41e-02
positive regulation of DNA metabolic process (GO:0051054)	8	4	3.46e-01	+	1.16e+01	1.12e-03	1.41e-02
posttranscriptional gene silencing (GO:0016441)	43	8	1.86e+00	+	4.30e+00	1.12e-03	1.41e-02
negative regulation of cell cycle phase transition (GO:1901988)	43	8	1.86e+00	+	4.30e+00	1.12e-03	1.41e-02
maintenance of meristem identity (GO:0010074)	15	5	6.49e-01	+	7.70e+00	1.12e-03	1.41e-02
negative regulation of DNA recombination (GO:0045910)	15	5	6.49e-01	+	7.70e+00	1.12e-03	1.40e-02
rRNA base methylation (GO:0070475)	15	5	6.49e-01	+	7.70e+00	1.12e-03	1.40e-02
regulation of cellular response to stress (GO:0080135)	33	7	1.43e+00	+	4.90e+00	1.17e-03	1.45e-02
protein urmylation (GO:0032447)	3	3	1.30e-01	+	2.31e+01	1.30e-03	1.61e-02
cellular protein localization (GO:0034613)	564	42	2.44e+01	+	1.72e+00	1.34e-03	1.66e-02
meristem maintenance (GO:0010073)	56	9	2.42e+00	+	3.71e+00	1.40e-03	1.73e-02
pyrimidine nucleoside monophosphate biosynthetic process (GO:0009130)	16	5	6.92e-01	+	7.22e+00	1.42e-03	1.75e-02
pyrimidine nucleoside monophosphate metabolic process (GO:0009129)	16	5	6.92e-01	+	7.22e+00	1.42e-03	1.75e-02
stem cell population maintenance (GO:0019827)	16	5	6.92e-01	+	7.22e+00	1.42e-03	1.74e-02
maintenance of cell number (GO:0098727)	16	5	6.92e-01	+	7.22e+00	1.42e-03	1.74e-02
mitochondrial mRNA modification (GO:0080156)	16	5	6.92e-01	+	7.22e+00	1.42e-03	1.73e-02
inorganic ion homeostasis (GO:0098771)	166	0	7.18e+00	-	0	1.44e-03	1.75e-02
positive regulation of cellular component organization (GO:0051130)	45	8	1.95e+00	+	4.11e+00	1.45e-03	1.75e-02
karyogamy (GO:0000741)	9	4	3.89e-01	+	1.03e+01	1.56e-03	1.89e-02
mRNA pseudouridine synthesis (GO:1990481)	9	4	3.89e-01	+	1.03e+01	1.56e-03	1.88e-02
polar nucleus fusion (GO:0010197)	9	4	3.89e-01	+	1.03e+01	1.56e-03	1.88e-02
pyrimidine nucleotide biosynthetic process (GO:0006221)	35	7	1.51e+00	+	4.62e+00	1.57e-03	1.89e-02
positive regulation of cellular protein metabolic process (GO:0032270)	108	13	4.67e+00	+	2.78e+00	1.58e-03	1.89e-02
negative regulation of cell cycle (GO:0045786)	58	9	2.51e+00	+	3.59e+00	1.74e-03	2.08e-02
biological regulation (GO:0065007)	4754	250	2.06e+02	+	1.22e+00	1.80e-03	2.14e-02
regulation of mitotic metaphase/anaphase transition (GO:0030071)	26	6	1.12e+00	+	5.33e+00	1.81e-03	2.15e-02
regulation of metaphase/anaphase transition of cell cycle (GO:1902099)	26	6	1.12e+00	+	5.33e+00	1.81e-03	2.14e-02
meiotic cell cycle process (GO:1903046)	110	13	4.76e+00	+	2.73e+00	1.83e-03	2.16e-02
positive regulation of nitrogen compound metabolic process (GO:0051173)	524	39	2.27e+01	+	1.72e+00	1.90e-03	2.24e-02
protein localization (GO:0008104)	771	53	3.34e+01	+	1.59e+00	1.90e-03	2.24e-02
double-strand break repair via homologous recombination (GO:0000724)	84	11	3.63e+00	+	3.03e+00	1.94e-03	2.27e-02
alpha-amino acid biosynthetic process (GO:1901607)	164	17	7.10e+00	+	2.40e+00	1.96e-03	2.29e-02
positive regulation of protein metabolic process (GO:0051247)	125	14	5.41e+00	+	2.59e+00	1.97e-03	2.30e-02
nucleoside diphosphate phosphorylation (GO:0006165)	85	11	3.68e+00	+	2.99e+00	2.11e-03	2.46e-02
purine nucleobase biosynthetic process (GO:0009113)	10	4	4.33e-01	+	9.24e+00	2.11e-03	2.45e-02
mitotic recombination (GO:0006312)	10	4	4.33e-01	+	9.24e+00	2.11e-03	2.45e-02
'de novo' pyrimidine nucleobase biosynthetic process (GO:0006207)	10	4	4.33e-01	+	9.24e+00	2.11e-03	2.44e-02
response to ionizing radiation (GO:0010212)	10	4	4.33e-01	+	9.24e+00	2.11e-03	2.44e-02
negative regulation of cellular process (GO:0048523)	539	40	2.33e+01	+	1.72e+00	2.14e-03	2.46e-02
peptidyl-lysine methylation (GO:0018022)	60	9	2.60e+00	+	3.47e+00	2.14e-03	2.46e-02
signal transduction in response to DNA damage (GO:0042770)	18	5	7.79e-01	+	6.42e+00	2.20e-03	2.52e-02
DNA damage checkpoint signaling (GO:0000077)	18	5	7.79e-01	+	6.42e+00	2.20e-03	2.51e-02
protein insertion into mitochondrial inner membrane (GO:0045039)	18	5	7.79e-01	+	6.42e+00	2.20e-03	2.50e-02
RNA-dependent DNA biosynthetic process (GO:0006278)	18	5	7.79e-01	+	6.42e+00	2.20e-03	2.50e-02
protein processing involved in protein targeting to mitochondrion (GO:0006627)	4	3	1.73e-01	+	1.73e+01	2.20e-03	2.49e-02
single strand break repair (GO:0000012)	4	3	1.73e-01	+	1.73e+01	2.20e-03	2.49e-02
regulation of transcription by RNA polymerase I (GO:0006356)	4	3	1.73e-01	+	1.73e+01	2.20e-03	2.48e-02
tRNA (guanine-N7)-methylation (GO:0106004)	4	3	1.73e-01	+	1.73e+01	2.20e-03	2.48e-02
positive regulation of transcription by RNA polymerase I (GO:0045943)	4	3	1.73e-01	+	1.73e+01	2.20e-03	2.47e-02
nuclear pore organization (GO:0006999)	4	3	1.73e-01	+	1.73e+01	2.20e-03	2.46e-02
cation homeostasis (GO:0055080)	161	0	6.97e+00	-	0	2.21e-03	2.47e-02
meristem development (GO:0048507)	73	10	3.16e+00	+	3.17e+00	2.28e-03	2.54e-02
aspartate family amino acid metabolic process (GO:0009066)	61	9	2.64e+00	+	3.41e+00	2.37e-03	2.64e-02
positive regulation of organelle organization (GO:0010638)	38	7	1.64e+00	+	4.26e+00	2.38e-03	2.64e-02
regulation of mitotic sister chromatid separation (GO:0010965)	28	6	1.21e+00	+	4.95e+00	2.50e-03	2.77e-02
regulation of chromosome separation (GO:1905818)	28	6	1.21e+00	+	4.95e+00	2.50e-03	2.76e-02
external encapsulating structure organization (GO:0045229)	342	4	1.48e+01	-	2.70e-01	2.53e-03	2.79e-02
glycosyl compound metabolic process (GO:1901657)	50	8	2.16e+00	+	3.70e+00	2.61e-03	2.87e-02
inner mitochondrial membrane organization (GO:0007007)	19	5	8.22e-01	+	6.08e+00	2.68e-03	2.94e-02
pollen development (GO:0009555)	75	10	3.25e+00	+	3.08e+00	2.72e-03	2.98e-02
cellular carbohydrate metabolic process (GO:0044262)	411	6	1.78e+01	-	3.37e-01	2.78e-03	3.04e-02
threonine biosynthetic process (GO:0009088)	11	4	4.76e-01	+	8.40e+00	2.79e-03	3.04e-02
mitotic cell cycle (GO:0000278)	219	20	9.48e+00	+	2.11e+00	2.90e-03	3.15e-02
pyrimidine ribonucleotide biosynthetic process (GO:0009220)	29	6	1.25e+00	+	4.78e+00	2.91e-03	3.16e-02
pyrimidine ribonucleotide metabolic process (GO:0009218)	29	6	1.25e+00	+	4.78e+00	2.91e-03	3.16e-02
DNA modification (GO:0006304)	29	6	1.25e+00	+	4.78e+00	2.91e-03	3.15e-02
alpha-amino acid metabolic process (GO:1901605)	247	22	1.07e+01	+	2.06e+00	2.94e-03	3.17e-02
protein acylation (GO:0043543)	76	10	3.29e+00	+	3.04e+00	2.96e-03	3.19e-02
protein refolding (GO:0042026)	40	7	1.73e+00	+	4.04e+00	3.07e-03	3.29e-02
histone methylation (GO:0016571)	52	8	2.25e+00	+	3.56e+00	3.24e-03	3.47e-02
tubulin complex assembly (GO:0007021)	5	3	2.16e-01	+	1.39e+01	3.41e-03	3.64e-02
regulation of double-strand break repair (GO:2000779)	5	3	2.16e-01	+	1.39e+01	3.41e-03	3.63e-02
cellular response to ionizing radiation (GO:0071479)	5	3	2.16e-01	+	1.39e+01	3.41e-03	3.63e-02
protein K11-linked ubiquitination (GO:0070979)	5	3	2.16e-01	+	1.39e+01	3.41e-03	3.62e-02
mitochondrial RNA 3'-end processing (GO:0000965)	5	3	2.16e-01	+	1.39e+01	3.41e-03	3.61e-02
tRNA thio-modification (GO:0034227)	5	3	2.16e-01	+	1.39e+01	3.41e-03	3.60e-02
mRNA methylation (GO:0080009)	5	3	2.16e-01	+	1.39e+01	3.41e-03	3.59e-02
cell surface receptor signaling pathway (GO:0007166)	247	2	1.07e+01	-	1.87e-01	3.56e-03	3.75e-02
proton-transporting two-sector ATPase complex assembly (GO:0070071)	12	4	5.19e-01	+	7.70e+00	3.60e-03	3.78e-02
DNA topological change (GO:0006265)	12	4	5.19e-01	+	7.70e+00	3.60e-03	3.77e-02
peptidyl-lysine monomethylation (GO:0018026)	12	4	5.19e-01	+	7.70e+00	3.60e-03	3.76e-02
nucleoside diphosphate metabolic process (GO:0009132)	106	12	4.59e+00	+	2.62e+00	3.71e-03	3.87e-02
purine ribonucleoside diphosphate metabolic process (GO:0009179)	79	10	3.42e+00	+	2.93e+00	3.81e-03	3.97e-02
purine nucleoside diphosphate metabolic process (GO:0009135)	79	10	3.42e+00	+	2.93e+00	3.81e-03	3.96e-02
embryo development ending in seed dormancy (GO:0009793)	79	10	3.42e+00	+	2.93e+00	3.81e-03	3.95e-02
glucan metabolic process (GO:0044042)	201	1	8.70e+00	-	1.15e-01	3.84e-03	3.98e-02
positive regulation of phosphorus metabolic process (GO:0010562)	31	6	1.34e+00	+	4.47e+00	3.89e-03	4.01e-02
positive regulation of phosphate metabolic process (GO:0045937)	31	6	1.34e+00	+	4.47e+00	3.89e-03	4.00e-02
organelle fission (GO:0048285)	145	15	6.27e+00	+	2.39e+00	3.94e-03	4.04e-02
protein maturation (GO:0051604)	93	11	4.02e+00	+	2.73e+00	3.96e-03	4.06e-02
developmental process involved in reproduction (GO:0003006)	321	26	1.39e+01	+	1.87e+00	4.03e-03	4.12e-02
AMP metabolic process (GO:0046033)	13	4	5.62e-01	+	7.11e+00	4.55e-03	4.64e-02
telomere maintenance via telomerase (GO:0007004)	13	4	5.62e-01	+	7.11e+00	4.55e-03	4.63e-02
threonine metabolic process (GO:0006566)	13	4	5.62e-01	+	7.11e+00	4.55e-03	4.62e-02
double-strand break repair via nonhomologous end joining (GO:0006303)	13	4	5.62e-01	+	7.11e+00	4.55e-03	4.61e-02
cell wall organization (GO:0071555)	316	4	1.37e+01	-	2.93e-01	4.60e-03	4.66e-02
nucleoside metabolic process (GO:0009116)	44	7	1.90e+00	+	3.68e+00	4.89e-03	4.94e-02
meiosis I cell cycle process (GO:0061982)	69	9	2.99e+00	+	3.01e+00	4.95e-03	5.00e-02
mitochondrial transmembrane transport (GO:1990542)	69	9	2.99e+00	+	3.01e+00	4.95e-03	4.98e-02
GMP metabolic process (GO:0046037)	6	3	2.60e-01	+	1.16e+01	4.96e-03	4.98e-02
cytoplasmic translational elongation (GO:0002182)	6	3	2.60e-01	+	1.16e+01	4.96e-03	4.97e-02
mitochondrial mRNA processing (GO:0090615)	6	3	2.60e-01	+	1.16e+01	4.96e-03	4.96e-02
tRNA splicing, via endonucleolytic cleavage and ligation (GO:0006388)	6	3	2.60e-01	+	1.16e+01	4.96e-03	4.94e-02
CUT metabolic process (GO:0071043)	6	3	2.60e-01	+	1.16e+01	4.96e-03	4.93e-02
CUT catabolic process (GO:0071034)	6	3	2.60e-01	+	1.16e+01	4.96e-03	4.92e-02
enzyme-directed rRNA pseudouridine synthesis (GO:0000455)	6	3	2.60e-01	+	1.16e+01	4.96e-03	4.91e-02
