Gene,KEGG
Os08g0117200 ,Ribosome
Os11g0176200 ,RNA degradation
Os06g0134000 ,Ribosome
Os02g0135200 ,MAPK signaling pathway - plant
Os02g0739600 ,"Glycolysis / Gluconeogenesis, Citrate cycle (TCA cycle), Pyruvate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism"
Os12g0168000 ,"One carbon pool by folate, Metabolic pathways"
Os02g0571100 ,"Diterpenoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os06g0274200 ,Ribosome biogenesis in eukaryotes
Os03g0283200 ,Glutathione metabolism
Os05g0361200 ,"Porphyrin and chlorophyll metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os07g0693500 ,"Purine metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os10g0465800 ,Ribosome
Os03g0694700 ,Ribosome
Os05g0230700 ,Plant hormone signal transduction
Os08g0118900 ,"Purine metabolism, Thiamine metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os02g0539100 ,"Glycerolipid metabolism, Metabolic pathways"
Os04g0650800 ,"Glycine, serine and threonine metabolism, Metabolic pathways, Carbon metabolism, Biosynthesis of amino acids"
Os10g0466200 ,Ribosome
Os04g0223300 ,"Ascorbate and aldarate metabolism, Glutathione metabolism"
Os06g0301300 ,Proteasome
Os02g0240100 ,"Phenylpropanoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os01g0232300 ,RNA transport
Os03g0749500 ,"Cyanoamino acid metabolism, Starch and sucrose metabolism, Phenylpropanoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os09g0345700 ,"Nicotinate and nicotinamide metabolism, Metabolic pathways"
Os03g0268900 ,"Tropane, piperidine and pyridine alkaloid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os05g0564200 ,Spliceosome
Os04g0556400 ,Zeatin biosynthesis
Os07g0477000 ,"Purine metabolism, Pyrimidine metabolism, Metabolic pathways, RNA polymerase"
Os02g0573200 ,Circadian rhythm - plant
Os06g0153800 ,Proteasome
Os03g0828300 ,Fructose and mannose metabolism
Os06g0687800 ,Endocytosis
Os05g0425700 ,Ubiquitin mediated proteolysis
Os07g0626200 ,"RNA transport, mRNA surveillance pathway, Spliceosome"
Os12g0632700 ,"Citrate cycle (TCA cycle), Cysteine and methionine metabolism, Pyruvate metabolism, Glyoxylate and dicarboxylate metabolism, Carbon fixation in photosynthetic organisms, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism"
Os01g0286100 ,"Plant hormone signal transduction, Circadian rhythm - plant"
Os04g0688600 ,"Phenylpropanoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os02g0801200 ,Proteasome
Os02g0759800 ,Spliceosome
Os08g0450800 ,"Inositol phosphate metabolism, Metabolic pathways, Phosphatidylinositol signaling system, Phagosome"
Os05g0582300 ,"Terpenoid backbone biosynthesis, Biosynthesis of secondary metabolites"
Os05g0549900 ,"Glycerolipid metabolism, Glycerophospholipid metabolism, Biosynthesis of secondary metabolites"
Os03g0731900 ,"Terpenoid backbone biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os04g0636900 ,Spliceosome
Os03g0180900 ,Plant hormone signal transduction
Os09g0442600 ,Purine metabolism
Os06g0356800 ,"Amino sugar and nucleotide sugar metabolism, Metabolic pathways"
Os02g0103700 ,Ribosome
Os02g0226200 ,"Vitamin B6 metabolism, Metabolic pathways"
Os02g0637700 ,"Glycolysis / Gluconeogenesis, Fatty acid degradation, Tyrosine metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os01g0662300 ,Ribosome
Os03g0698900 ,Sphingolipid metabolism
Os02g0654100 ,"Valine, leucine and isoleucine degradation, Metabolic pathways"
Os06g0139900 ,Proteasome
Os12g0634800 ,Ribosome biogenesis in eukaryotes
Os03g0811100 ,"Porphyrin and chlorophyll metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os01g0794500 ,RNA transport
Os11g0293300 ,RNA transport
Os03g0786100 ,"Glyoxylate and dicarboxylate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism, Peroxisome"
Os08g0559400 ,Spliceosome
Os05g0314100 ,Spliceosome
Os10g0155400 ,"Arginine and proline metabolism, Phenylalanine metabolism, Tryptophan metabolism"
Os03g0734400 ,Ribosome
Os02g0656200 ,Sphingolipid metabolism
Os08g0540100 ,"Biotin metabolism, Metabolic pathways"
Os11g0591100 ,"Ascorbate and aldarate metabolism, Amino sugar and nucleotide sugar metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os08g0244400 ,Lysine degradation
Os01g0945800 ,mRNA surveillance pathway
Os01g0814000 ,mRNA surveillance pathway
Os10g0436800 ,"Ubiquinone and other terpenoid-quinone biosynthesis, Biosynthesis of secondary metabolites"
Os08g0191700 ,Pyruvate metabolism
Os01g0682500 ,"Glycine, serine and threonine metabolism, Glycerolipid metabolism, Glyoxylate and dicarboxylate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism"
Os11g0629500 ,"Glycine, serine and threonine metabolism, Metabolic pathways, Carbon metabolism, Biosynthesis of amino acids"
Os09g0446800 ,"One carbon pool by folate, Metabolic pathways, Carbon metabolism"
Os06g0229200 ,Metabolic pathways
Os09g0315000 ,Peroxisome
Os02g0140300 ,"Folate biosynthesis, Metabolic pathways, Sulfur relay system"
Os02g0744700 ,"Starch and sucrose metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os06g0192500 ,Spliceosome
Os04g0394200 ,"Citrate cycle (TCA cycle), Lysine degradation, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism"
Os10g0437200 ,RNA degradation
Os02g0728700 ,Ribosome biogenesis in eukaryotes
Os03g0700800 ,"MAPK signaling pathway - plant, Plant hormone signal transduction"
Os08g0176100 ,"Pantothenate and CoA biosynthesis, Metabolic pathways"
Os07g0168300 ,Glutathione metabolism
Os02g0194100 ,"Citrate cycle (TCA cycle), Glyoxylate and dicarboxylate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism, 2-Oxocarboxylic acid metabolism, Biosynthesis of amino acids"
Os04g0691600 ,Ribosome
Os01g0631200 ,"Porphyrin and chlorophyll metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os05g0169100 ,Ribosome
Os03g0667800 ,Ribosome
Os02g0528200 ,"Starch and sucrose metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os04g0379900 ,"Fatty acid biosynthesis, Biosynthesis of unsaturated fatty acids, Fatty acid metabolism"
Os04g0474700 ,"Cyanoamino acid metabolism, Starch and sucrose metabolism, Phenylpropanoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os03g0352800 ,"Oxidative phosphorylation, Metabolic pathways"
Os05g0430800 ,"Purine metabolism, Alanine, aspartate and glutamate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os02g0179800 ,Autophagy - other
Os12g0123500 ,"Purine metabolism, Pyrimidine metabolism"
Os01g0188400 ,"Pyruvate metabolism, Carbon fixation in photosynthetic organisms, Metabolic pathways, Carbon metabolism"
Os08g0327400 ,"Fatty acid biosynthesis, Biotin metabolism, Metabolic pathways, Fatty acid metabolism"
Os04g0492800 ,Plant-pathogen interaction
Os06g0179000 ,"Glycosaminoglycan degradation, Metabolic pathways"
Os10g0473400 ,"Other glycan degradation, Sphingolipid metabolism, Metabolic pathways"
Os01g0370000 ,"alpha-Linolenic acid metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os05g0135500 ,"Phenylpropanoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os12g0605800 ,"Valine, leucine and isoleucine degradation, Metabolic pathways"
Os02g0267000 ,Protein export
Os08g0459600 ,"alpha-Linolenic acid metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os03g0356582 ,"Inositol phosphate metabolism, Metabolic pathways, Phosphatidylinositol signaling system, Endocytosis"
Os05g0502000 ,Plant-pathogen interaction
Os07g0669100 ,"Pentose and glucuronate interconversions, Fructose and mannose metabolism, Metabolic pathways"
Os07g0152800 ,Peroxisome
Os02g0749300 ,"Phenylalanine, tyrosine and tryptophan biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of amino acids"
Os03g0276500 ,"Spliceosome, Protein processing in endoplasmic reticulum, Endocytosis"
Os08g0440300 ,RNA degradation
Os02g0198300 ,Endocytosis
Os05g0539400 ,"Galactose metabolism, Other glycan degradation, Glycosaminoglycan degradation, Sphingolipid metabolism, Glycosphingolipid biosynthesis - ganglio series, Metabolic pathways"
Os03g0240800 ,Spliceosome
Os01g0635400 ,RNA transport
Os09g0502500 ,"alpha-Linolenic acid metabolism, Biosynthesis of secondary metabolites"
Os12g0623900 ,"Cysteine and methionine metabolism, Selenocompound metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of amino acids"
Os02g0730000 ,"Glycolysis / Gluconeogenesis, Ascorbate and aldarate metabolism, Fatty acid degradation, Valine, leucine and isoleucine degradation, Lysine degradation, Arginine and proline metabolism, Histidine metabolism, Tryptophan metabolism, beta-Alanine metabolism, Glycerolipid metabolism, Pyruvate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os02g0146600 ,RNA transport
Os05g0486700 ,Ribosome
Os11g0118200 ,Fructose and mannose metabolism
Os05g0520100 ,RNA transport
Os03g0241200 ,"Ribosome biogenesis in eukaryotes, Spliceosome"
Os06g0698785 ,"Glycine, serine and threonine metabolism"
Os07g0101500 ,"Steroid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os07g0224000 ,Ribosome
Os09g0101100 ,Base excision repair
Os02g0180700 ,"Phenylpropanoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os07g0208000 ,Ribosome
Os10g0493600 ,"Galactose metabolism, Glycerolipid metabolism, Sphingolipid metabolism, Glycosphingolipid biosynthesis - globo and isoglobo series, Metabolic pathways"
Os12g0502200 ,Spliceosome
Os06g0163500 ,Protein processing in endoplasmic reticulum
Os04g0530400 ,"SNARE interactions in vesicular transport, Phagosome"
Os12g0555600 ,"Amino sugar and nucleotide sugar metabolism, Metabolic pathways"
Os01g0559100 ,Aminoacyl-tRNA biosynthesis
Os01g0777700 ,Phosphatidylinositol signaling system
Os03g0855700 ,"DNA replication, Nucleotide excision repair, Mismatch repair, Homologous recombination"
Os03g0243300 ,Proteasome
Os12g0626400 ,"Carotenoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os01g0856500 ,Plant hormone signal transduction
Os03g0121200 ,"Phenylpropanoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os03g0297100 ,Ribosome
Os05g0540300 ,RNA degradation
Os02g0533300 ,Nitrogen metabolism
Os11g0530600 ,"Flavonoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, Circadian rhythm - plant"
Os01g0159400 ,"Fatty acid degradation, alpha-Linolenic acid metabolism, Biosynthesis of unsaturated fatty acids, Metabolic pathways, Biosynthesis of secondary metabolites, Fatty acid metabolism, Peroxisome"
Os02g0517300 ,RNA degradation
Os02g0612100 ,"Glycerophospholipid metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os01g0123700 ,Ubiquitin mediated proteolysis
Os06g0569500 ,"Diterpenoid biosynthesis, Biosynthesis of secondary metabolites"
Os03g0324200 ,"MAPK signaling pathway - plant, Plant hormone signal transduction"
Os04g0648700 ,Homologous recombination
Os08g0200300 ,"Photosynthesis, Metabolic pathways"
Os03g0192700 ,"Inositol phosphate metabolism, Metabolic pathways"
Os10g0497800 ,"Arginine and proline metabolism, Metabolic pathways"
Os03g0123300 ,Ubiquitin mediated proteolysis
Os04g0447800 ,"Alanine, aspartate and glutamate metabolism, beta-Alanine metabolism, Taurine and hypotaurine metabolism, Butanoate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os02g0814700 ,Ribosome
Os04g0464200 ,"Glycine, serine and threonine metabolism, Metabolic pathways"
Os07g0229900 ,Ribosome
Os01g0823300 ,Ribosome
Os08g0447000 ,"Glycine, serine and threonine metabolism, Metabolic pathways, Carbon metabolism, Biosynthesis of amino acids"
Os03g0797500 ,Metabolic pathways
Os04g0613400 ,RNA degradation
Os02g0465000 ,"Nucleotide excision repair, Protein processing in endoplasmic reticulum"
Os09g0509200 ,"Glycolysis / Gluconeogenesis, Citrate cycle (TCA cycle), Pyruvate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism"
Os02g0169300 ,"Glycolysis / Gluconeogenesis, Carbon fixation in photosynthetic organisms, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism, Biosynthesis of amino acids"
Os06g0132400 ,"Porphyrin and chlorophyll metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os07g0674200 ,Ribosome
Os09g0394100 ,"beta-Alanine metabolism, Propanoate metabolism, Metabolic pathways, Peroxisome"
Os05g0490100 ,Ribosome
Os07g0658200 ,Ribosome
Os01g0327100 ,"Phenylpropanoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os02g0273800 ,RNA transport
Os02g0134000 ,"Pantothenate and CoA biosynthesis, Metabolic pathways"
Os03g0808600 ,Plant-pathogen interaction
Os05g0178400 ,mRNA surveillance pathway
Os01g0878800 ,Betalain biosynthesis
Os01g0624500 ,Plant-pathogen interaction
Os12g0131100 ,"Alanine, aspartate and glutamate metabolism, Amino sugar and nucleotide sugar metabolism, Metabolic pathways"
Os04g0537100 ,Plant hormone signal transduction
Os11g0657300 ,Spliceosome
Os04g0118900 ,Spliceosome
Os01g0127900 ,"Fructose and mannose metabolism, Amino sugar and nucleotide sugar metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os05g0213500 ,"MAPK signaling pathway - plant, Plant hormone signal transduction"
Os10g0527400 ,Glutathione metabolism
Os08g0537600 ,Endocytosis
Os07g0529800 ,RNA transport
Os01g0197700 ,Zeatin biosynthesis
Os09g0344500 ,"Tryptophan metabolism, Metabolic pathways"
Os11g0141400 ,Plant-pathogen interaction
Os04g0650000 ,Phagosome
Os11g0194800 ,"Purine metabolism, Pyrimidine metabolism, Metabolic pathways, RNA polymerase"
Os09g0492700 ,"Terpenoid backbone biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os05g0144800 ,"Basal transcription factors, Nucleotide excision repair"
Os03g0284100 ,Circadian rhythm - plant
Os05g0362100 ,"Fatty acid degradation, alpha-Linolenic acid metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Fatty acid metabolism"
Os10g0466700 ,Ribosome
Os08g0538000 ,Aminoacyl-tRNA biosynthesis
Os03g0695600 ,Proteasome
Os08g0119800 ,"Photosynthesis, Metabolic pathways"
Os05g0161200 ,Purine metabolism
Os06g0136600 ,"Glycolysis / Gluconeogenesis, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism, Biosynthesis of amino acids, RNA degradation"
Os03g0713000 ,"Glycine, serine and threonine metabolism, Valine, leucine and isoleucine biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism, Biosynthesis of amino acids"
Os03g0425300 ,"Glycerolipid metabolism, Glycerophospholipid metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Phosphatidylinositol signaling system"
Os03g0162000 ,"Tryptophan metabolism, Metabolic pathways"
Os01g0565900 ,"Protein export, Protein processing in endoplasmic reticulum, Phagosome"
Os01g0976100 ,ABC transporters
Os09g0267800 ,Plant-pathogen interaction
Os03g0773150 ,Ribosome
Os01g0110700 ,"Pyruvate metabolism, Carbon fixation in photosynthetic organisms, Metabolic pathways, Carbon metabolism"
Os11g0143500 ,"Ascorbate and aldarate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os08g0207000 ,Ribosome
Os01g0286600 ,"Porphyrin and chlorophyll metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os04g0434800 ,"Ascorbate and aldarate metabolism, Glutathione metabolism"
Os02g0225000 ,Peroxisome
Os03g0286200 ,"Phenylalanine, tyrosine and tryptophan biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of amino acids"
Os08g0224700 ,Proteasome
Os04g0636100 ,Amino sugar and nucleotide sugar metabolism
Os08g0154300 ,"Pentose phosphate pathway, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism, Biosynthesis of amino acids"
Os01g0810300 ,"MAPK signaling pathway - plant, Phosphatidylinositol signaling system, Plant-pathogen interaction"
Os01g0234900 ,Ubiquitin mediated proteolysis
Os08g0504400 ,Pyrimidine metabolism
Os10g0136100 ,Plant-pathogen interaction
Os01g0349400 ,mRNA surveillance pathway
Os09g0565600 ,"Steroid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os08g0557800 ,"Cutin, suberine and wax biosynthesis, Peroxisome"
Os01g0793300 ,"Tyrosine metabolism, Isoquinoline alkaloid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os05g0147300 ,Plant-pathogen interaction
Os07g0513000 ,"Oxidative phosphorylation, Photosynthesis, Metabolic pathways"
Os03g0349000 ,RNA transport
Os09g0110400 ,"Purine metabolism, Pyrimidine metabolism, Metabolic pathways, RNA polymerase"
Os01g0847700 ,"Glycolysis / Gluconeogenesis, Pentose and glucuronate interconversions, Glycerolipid metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os05g0460700 ,Ribosome
Os03g0313300 ,mRNA surveillance pathway
Os02g0592200 ,"Folate biosynthesis, Metabolic pathways"
Os06g0172800 ,Galactose metabolism
Os02g0489400 ,Ribosome
Os10g0170200 ,Ribosome
Os06g0103400 ,"DNA replication, Nucleotide excision repair, Mismatch repair, Homologous recombination"
Os04g0559400 ,"Cysteine and methionine metabolism, Valine, leucine and isoleucine degradation, Valine, leucine and isoleucine biosynthesis, Pantothenate and CoA biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, 2-Oxocarboxylic acid metabolism, Biosynthesis of amino acids"
Os03g0811600 ,Spliceosome
Os01g0314100 ,"Valine, leucine and isoleucine degradation, Propanoate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os02g0121000 ,"Porphyrin and chlorophyll metabolism, Aminoacyl-tRNA biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os07g0181000 ,"Glycolysis / Gluconeogenesis, Purine metabolism, Pyruvate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism, Biosynthesis of amino acids"
Os07g0662900 ,"Starch and sucrose metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os01g0200000 ,Autophagy - other
Os08g0436100 ,"Purine metabolism, Pyrimidine metabolism"
Os10g0487300 ,Homologous recombination
Os03g0367101 ,"Flavonoid biosynthesis, Flavone and flavonol biosynthesis, Biosynthesis of secondary metabolites"
Os07g0584500 ,mRNA surveillance pathway
Os04g0244400 ,"Arachidonic acid metabolism, Metabolic pathways"
Os07g0165000 ,Aminoacyl-tRNA biosynthesis
Os05g0149400 ,"Cysteine and methionine metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os02g0323600 ,"Steroid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os01g0183000 ,"Glycerophospholipid metabolism, Metabolic pathways"
Os01g0315800 ,"Amino sugar and nucleotide sugar metabolism, Metabolic pathways"
Os02g0672700 ,"Purine metabolism, Pyrimidine metabolism, Metabolic pathways, RNA polymerase"
Os08g0104700 ,"Inositol phosphate metabolism, Metabolic pathways, Phosphatidylinositol signaling system, Phagosome"
Os10g0530400 ,Glutathione metabolism
Os09g0252700 ,Ubiquitin mediated proteolysis
Os10g0419600 ,"Porphyrin and chlorophyll metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os05g0533600 ,"Starch and sucrose metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os07g0611600 ,"Purine metabolism, Pyrimidine metabolism, Metabolic pathways, RNA polymerase"
Os02g0796900 ,Ribosome
Os04g0106300 ,"Arginine biosynthesis, Arginine and proline metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of amino acids"
Os06g0245700 ,"N-Glycan biosynthesis, Metabolic pathways"
Os02g0690800 ,"Arginine biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, 2-Oxocarboxylic acid metabolism, Biosynthesis of amino acids"
Os05g0447200 ,Plant hormone signal transduction
Os03g0719300 ,"Fructose and mannose metabolism, Glycerolipid metabolism, Metabolic pathways, Carbon metabolism"
Os01g0962700 ,"Phenylpropanoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os07g0167100 ,"Nicotinate and nicotinamide metabolism, Metabolic pathways"
Os07g0681400 ,Plant-pathogen interaction
Os08g0525000 ,Endocytosis
Os06g0604200 ,"Glycerophospholipid metabolism, Ether lipid metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Endocytosis"
Os03g0831800 ,"RNA transport, Protein processing in endoplasmic reticulum"
Os08g0308100 ,RNA transport
Os12g0236400 ,"Purine metabolism, Thiamine metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os06g0605900 ,"MAPK signaling pathway - plant, Plant hormone signal transduction"
Os04g0457500 ,"Taurine and hypotaurine metabolism, Cyanoamino acid metabolism, Glutathione metabolism, Arachidonic acid metabolism, Metabolic pathways"
Os10g0438100 ,"Ubiquitin mediated proteolysis, Protein processing in endoplasmic reticulum"
Os01g0589000 ,Ribosome
Os03g0701700 ,"MAPK signaling pathway - plant, Plant hormone signal transduction"
Os02g0623500 ,Aminoacyl-tRNA biosynthesis
Os03g0816200 ,Ribosome
Os01g0771900 ,"Cyanoamino acid metabolism, Starch and sucrose metabolism, Phenylpropanoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os06g0675700 ,"Galactose metabolism, Starch and sucrose metabolism, Metabolic pathways"
Os03g0335600 ,Aminoacyl-tRNA biosynthesis
Os04g0692500 ,RNA transport
Os07g0614100 ,Proteasome
Os09g0272900 ,"Ubiquitin mediated proteolysis, Protein processing in endoplasmic reticulum"
Os01g0151500 ,"Taurine and hypotaurine metabolism, Cyanoamino acid metabolism, Glutathione metabolism, Metabolic pathways"
Os01g0685500 ,"DNA replication, Base excision repair, Nucleotide excision repair, Mismatch repair"
Os08g0178700 ,"Glycerolipid metabolism, Glycerophospholipid metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Phosphatidylinositol signaling system"
Os08g0109300 ,"Purine metabolism, Thiamine metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os07g0615800 ,"Purine metabolism, Pyrimidine metabolism, Metabolic pathways, RNA polymerase"
Os03g0300300 ,Ribosome biogenesis in eukaryotes
Os11g0579800 ,Ribosome biogenesis in eukaryotes
Os11g0132600 ,Amino sugar and nucleotide sugar metabolism
Os08g0545200 ,"Pentose and glucuronate interconversions, Fructose and mannose metabolism, Metabolic pathways"
Os04g0599800 ,Ubiquitin mediated proteolysis
Os07g0616200 ,"Fatty acid biosynthesis, Biotin metabolism, Metabolic pathways, Fatty acid metabolism"
Os01g0888500 ,"Purine metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os01g0276100 ,"Citrate cycle (TCA cycle), Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism, 2-Oxocarboxylic acid metabolism, Biosynthesis of amino acids"
Os09g0484300 ,"Ubiquitin mediated proteolysis, Endocytosis"
Os06g0678200 ,"Terpenoid backbone biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os12g0178200 ,"Ascorbate and aldarate metabolism, Glutathione metabolism"
Os07g0485100 ,"Pyrimidine metabolism, beta-Alanine metabolism, Pantothenate and CoA biosynthesis, Metabolic pathways"
Os04g0494100 ,"Amino sugar and nucleotide sugar metabolism, Metabolic pathways"
Os01g0722700 ,"Glycolysis / Gluconeogenesis, Fructose and mannose metabolism, Galactose metabolism, Starch and sucrose metabolism, Amino sugar and nucleotide sugar metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism"
Os08g0161500 ,Fatty acid elongation
Os04g0643300 ,"Fatty acid biosynthesis, Metabolic pathways, Fatty acid metabolism"
Os12g0607100 ,RNA transport
Os07g0687700 ,Plant hormone signal transduction
Os09g0539100 ,"Phenylalanine, tyrosine and tryptophan biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of amino acids"
Os12g0406200 ,Ribosome
Os07g0170100 ,"Valine, leucine and isoleucine degradation, Propanoate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os12g0274700 ,"Glyoxylate and dicarboxylate metabolism, Carbon fixation in photosynthetic organisms, Metabolic pathways, Carbon metabolism"
Os09g0503400 ,Aminoacyl-tRNA biosynthesis
Os10g0476400 ,Endocytosis
Os10g0571200 ,"Glycolysis / Gluconeogenesis, Purine metabolism, Pyruvate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism, Biosynthesis of amino acids"
Os07g0573600 ,"Basal transcription factors, Nucleotide excision repair"
Os12g0291100 ,"Glyoxylate and dicarboxylate metabolism, Carbon fixation in photosynthetic organisms, Metabolic pathways, Carbon metabolism"
Os01g0871300 ,"Tyrosine metabolism, Phenylalanine metabolism, Phenylalanine, tyrosine and tryptophan biosynthesis, Isoquinoline alkaloid biosynthesis, Tropane, piperidine and pyridine alkaloid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of amino acids"
Os10g0362300 ,Plant hormone signal transduction
Os05g0574400 ,"Citrate cycle (TCA cycle), Cysteine and methionine metabolism, Pyruvate metabolism, Glyoxylate and dicarboxylate metabolism, Carbon fixation in photosynthetic organisms, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism"
Os06g0644600 ,Ribosome biogenesis in eukaryotes
Os01g0321300 ,Protein export
Os10g0503500 ,"Pyruvate metabolism, Carbon fixation in photosynthetic organisms, Metabolic pathways, Carbon metabolism"
Os01g0839300 ,Ribosome
Os11g0137200 ,"Synthesis and degradation of ketone bodies, Valine, leucine and isoleucine degradation, Butanoate metabolism, Metabolic pathways, Peroxisome"
Os02g0699600 ,Ribosome
Os06g0567900 ,"Ascorbate and aldarate metabolism, Metabolic pathways"
Os04g0515300 ,Ribosome
Os02g0498700 ,Amino sugar and nucleotide sugar metabolism
Os11g0216000 ,"Glycolysis / Gluconeogenesis, Purine metabolism, Pyruvate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism, Biosynthesis of amino acids"
Os03g0602300 ,"Brassinosteroid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os05g0104900 ,"Ubiquitin mediated proteolysis, Protein processing in endoplasmic reticulum"
Os04g0219600 ,Plant-pathogen interaction
Os03g0655700 ,"Valine, leucine and isoleucine biosynthesis, C5-Branched dibasic acid metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, 2-Oxocarboxylic acid metabolism, Biosynthesis of amino acids"
Os02g0647900 ,"Glycolysis / Gluconeogenesis, Ascorbate and aldarate metabolism, Fatty acid degradation, Valine, leucine and isoleucine degradation, Lysine degradation, Arginine and proline metabolism, Histidine metabolism, Tryptophan metabolism, beta-Alanine metabolism, Glycerolipid metabolism, Pyruvate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os11g0171300 ,"Glycolysis / Gluconeogenesis, Pentose phosphate pathway, Fructose and mannose metabolism, Carbon fixation in photosynthetic organisms, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism, Biosynthesis of amino acids"
Os03g0639700 ,Homologous recombination
Os08g0288200 ,"Purine metabolism, Thiamine metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
